generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,mape
4,28c5922c-44ab-40b4-ade5-a32a0cfe1d0f,untrimmed,3,119671,50,0.15,relu,mse,sgd,80.0,2,1,"[64, 64]","[(7, 7), (4, 4)]",[8],"(4, 4)",3.649499666658542
4,ac0827aa-3e64-43fb-9827-f81bb2392378,untrimmed,3,119671,50,0.25,relu,mse,rmsprop,94.0,2,1,"[64, 64]","[(7, 7), (4, 4)]",[32],"(4, 4)",4.563935887229549
4,871c54bb-9aaa-4eef-b31a-54b5832fb362,untrimmed,3,119671,50,0.15,relu,mae,rmsprop,80.0,2,1,"[16, 64]","[(8, 8), (3, 3)]",[64],"(3, 3)",3.6192786131190835
4,32bb1415-c9ee-42d2-a9b3-9db91e80f686,untrimmed,3,119671,30,0.25,relu,mae,rmsprop,90.0,2,1,"[16, 32]","[(8, 8), (8, 8)]",[64],"(4, 4)",4.1898037664598835
4,35bfe42f-8fc2-4151-82b9-1f2dabcb4266,untrimmed,3,119671,35,0.15,relu,mse,rmsprop,94.0,2,3,"[64, 32]","[(7, 7), (8, 8)]","[32, 32, 32]","(4, 4)",4.0968143891964965
4,e550c52f-ccf3-4c98-96fb-ad0d1858ac01,untrimmed,3,119671,50,0.25,relu,mae,sgd,90.0,2,3,"[8, 32]","[(4, 4), (8, 8)]","[16, 16, 32]","(4, 4)",3.7692843584165985
4,575f8858-b85b-4207-ba18-6a52cb4c9ee1,untrimmed,3,119671,35,0.25,relu,mae,rmsprop,90.0,2,3,"[8, 32]","[(4, 4), (8, 8)]","[8, 8, 8]","(4, 4)",3.4126419725747423
4,ecf0352a-ec7d-4336-b1ee-9e8897754d1c,untrimmed,3,119671,50,0.25,relu,mse,rmsprop,90.0,2,1,"[64, 32]","[(7, 7), (8, 8)]",[8],"(4, 4)",7.6457902421985215
4,b38ac314-bebe-4963-a96e-b7528047cef2,untrimmed,3,119671,50,0.1,tanh,mse,rmsprop,90.0,2,1,"[8, 64]","[(4, 4), (4, 4)]",[8],"(4, 4)",4.098324948433903
4,d96f440c-4455-4a54-aba0-737b60d2c4d0,untrimmed,3,119671,30,0.25,relu,mse,rmsprop,94.0,2,1,"[64, 64]","[(7, 7), (4, 4)]",[32],"(4, 4)",3.9992367403678264
4,e4c3dbe9-84b0-4415-955f-d63f278d0084,untrimmed,3,119671,50,0.15,relu,mse,sgd,90.0,2,3,"[64, 64]","[(7, 7), (4, 4)]","[32, 32, 8]","(4, 4)",3.909134601414636
4,f5fb9d4f-36db-481c-82da-68dd8ba4a0b1,untrimmed,3,119671,50,0.15,relu,mse,rmsprop,90.0,2,1,"[16, 32]","[(8, 8), (8, 8)]",[32],"(4, 4)",3.994620203451486
4,40917579-f3fe-43c7-bf89-2241b71ee188,untrimmed,3,119671,35,0.1,relu,mse,sgd,94.0,2,1,"[64, 64]","[(7, 7), (4, 4)]",[32],"(4, 4)",3.8043918395445258
4,6b5a0556-cac1-40f3-879e-1446f1a89baa,untrimmed,3,119671,50,0.15,relu,mae,rmsprop,90.0,2,3,"[16, 32]","[(8, 8), (8, 8)]","[8, 32, 32]","(4, 4)",3.8043626689316623
