generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,mape
1,1a36b8a1-816b-4f0e-a086-bd3e7c43a50d,trimmed,1,119671,40,0.3,tanh,mae,rmsprop,90.0,1,1,[16],"[(7, 7)]",[8],"(2, 2)",13.63119478005403
1,5ed1bd28-086e-40b4-b7dc-cbf8700ca89a,untrimmed,2,114458,35,0.1,sigmoid,mse,sgd,100.0,1,1,[64],"[(5, 5)]",[32],"(2, 2)",16.397389219542394
1,43b82990-8734-40dc-af06-19c2ddc070a7,untrimmed,1,119671,15,0.25,relu,mse,adam,98.0,3,3,"[16, 16, 64]","[(7, 7), (4, 4), (7, 7)]","[8, 8, 64]","(4, 4)",5.4037812912414696
1,34e481ea-89ae-400e-9f09-23caa8eafe95,trimmed,2,114458,30,0.15,sigmoid,mae,adam,98.0,2,3,"[32, 32]","[(3, 3), (8, 8)]","[16, 32, 64]","(2, 2)",14.640850427754797
1,b81a7f86-da3a-4f9b-a868-be70fac12f7c,trimmed,2,114458,40,0.2,sigmoid,mae,rmsprop,86.0,2,2,"[64, 16]","[(4, 4), (4, 4)]","[8, 64]","(3, 3)",16.15040178313746
1,6977dd54-8790-4867-9ac7-3e6391ab6712,untrimmed,2,114458,15,0.3,relu,mse,rmsprop,96.0,1,1,[32],"[(7, 7)]",[8],"(4, 4)",7.434734599883037
1,4724c7cc-9617-4f58-8f1f-51f34ed997d2,untrimmed,2,114458,10,0.2,sigmoid,mse,adam,84.0,3,1,"[32, 32, 64]","[(3, 3), (3, 3), (5, 5)]",[8],"(3, 3)",15.809874861693366
1,e894e6fe-a951-4aec-a409-a3e66c4805ce,untrimmed,1,119671,40,0.2,tanh,mae,adam,94.0,2,2,"[32, 32]","[(5, 5), (3, 3)]","[32, 8]","(4, 4)",6.857974818308751
1,0fd85ff1-b733-4b35-971d-1fe9b6be96f4,untrimmed,2,114458,35,0.1,relu,mae,adam,92.0,3,1,"[16, 8, 64]","[(5, 5), (8, 8), (4, 4)]",[32],"(2, 2)",6.236024105124999
1,ae87b361-2d8e-4352-b19c-080de792a461,trimmed,3,119671,25,0.1,relu,mse,sgd,100.0,1,2,[64],"[(3, 3)]","[8, 8]","(3, 3)",21.532088677275862
