generation,individual_id,notebook_type,state,reserved_shot,epochs,validation_split,activation_func,loss_func,optimizer_func,outlier_cutoff,num_conv2d_layers,num_dense_layers,conv2d_neurons,conv2d_size,dense_layer_neurons,max_pooling_size,mape
2,b2680e9a-601d-4c0c-88d5-e5c6510e7ba1,untrimmed,1,119671,45,0.1,relu,mse,sgd,80.0,2,1,"[32, 8]","[(3, 3), (3, 3)]",[32],"(3, 3)",4.599906071919239
2,921b6077-8fac-4115-9933-c7cde30679a2,untrimmed,3,114458,20,0.2,sigmoid,mse,adam,90.0,2,1,"[32, 16]","[(8, 8), (3, 3)]",[64],"(2, 2)",8.238938893413273
2,e560a396-c2c9-4daa-8acf-81013bf80c8f,untrimmed,3,119671,40,0.1,sigmoid,mse,rmsprop,86.0,2,1,"[64, 16]","[(7, 7), (7, 7)]",[32],"(2, 2)",7.573973668068552
2,8840972c-4977-4928-8527-95b8b5fbb7e2,untrimmed,3,119671,50,0.1,relu,mse,sgd,94.0,2,1,"[64, 64]","[(7, 7), (4, 4)]",[32],"(4, 4)",3.7339212872543848
2,ba6041a2-bbbd-4a17-b275-f2897aae904d,untrimmed,2,114458,40,0.3,sigmoid,mae,rmsprop,98.0,2,3,"[16, 8]","[(8, 8), (5, 5)]","[8, 8, 32]","(2, 2)",14.432875488044983
2,0c92f742-50e7-4564-86c9-bdd65f0eb14f,untrimmed,1,119671,20,0.2,sigmoid,mse,adam,90.0,1,1,[8],"[(4, 4)]",[32],"(2, 2)",7.511030475750527
2,0d407731-d044-4d27-9fdd-d042648fb673,untrimmed,3,119671,30,0.25,relu,mae,rmsprop,94.0,2,1,"[8, 32]","[(8, 8), (4, 4)]",[64],"(3, 3)",4.132177553453678
2,d749e4f7-6998-4600-bfea-59e2f7807a98,untrimmed,3,119671,40,0.15,relu,mae,adam,80.0,1,3,[16],"[(8, 8)]","[8, 32, 32]","(4, 4)",3.591948352634431
2,dfc4947a-66c0-4da0-9e3a-cff986b71502,untrimmed,3,119671,25,0.3,tanh,mae,sgd,98.0,3,2,"[8, 8, 64]","[(4, 4), (3, 3), (3, 3)]","[64, 8]","(4, 4)",4.32271488544831
2,2627e145-bc18-486e-a901-68bb81fecd19,trimmed,3,119671,50,0.15,relu,mae,sgd,96.0,1,1,[64],"[(4, 4)]",[32],"(4, 4)",15.605855118310089
2,61f8a8b5-c7f9-4cc3-82aa-f14cb749d3d5,trimmed,1,119671,30,0.3,relu,mae,rmsprop,96.0,1,1,[32],"[(4, 4)]",[16],"(4, 4)",17.149303465914194
2,bc4cb27b-8c1a-404b-afe1-9178326f6330,trimmed,3,119671,30,0.15,tanh,mae,sgd,86.0,1,3,[64],"[(4, 4)]","[32, 16, 64]","(2, 2)",18.754315164469308
2,e15094e7-7931-4fd3-bf7b-90b65a0955fa,trimmed,1,119671,10,0.25,sigmoid,mae,sgd,100.0,2,3,"[64, 32]","[(8, 8), (4, 4)]","[8, 8, 8]","(3, 3)",20.945928584806484
2,93305654-c94c-4217-9c4f-61026c963699,trimmed,2,114458,40,0.1,relu,mse,sgd,94.0,2,2,"[8, 32]","[(8, 8), (4, 4)]","[16, 8]","(3, 3)",12.762811597984838
2,a90865f7-41bc-4ae5-8c16-d46002d2df9f,trimmed,2,114458,20,0.3,relu,mae,adam,94.0,2,2,"[16, 8]","[(7, 7), (8, 8)]","[8, 16]","(2, 2)",11.29858847831921
2,b4379512-b5d1-4ed1-9a81-08108aeb022a,trimmed,3,114458,10,0.25,tanh,mse,rmsprop,80.0,3,2,"[16, 16, 16]","[(3, 3), (4, 4), (4, 4)]","[8, 32]","(2, 2)",16.359336528151662
2,0cd39ab5-e3fd-4f3e-8ef0-07850d1ce8a1,untrimmed,1,119671,30,0.3,relu,mse,adam,96.0,2,3,"[8, 16]","[(5, 5), (3, 3)]","[32, 16, 32]","(3, 3)",4.310370159709969
2,5dd264e5-143d-490b-9361-d4fd85616742,trimmed,2,114458,45,0.2,sigmoid,mse,rmsprop,82.0,2,1,"[16, 32]","[(7, 7), (4, 4)]",[8],"(4, 4)",18.267455636867783
2,4765aed9-ebf7-4c53-ae9d-81a8efd2def9,untrimmed,2,114458,10,0.1,tanh,mse,adam,90.0,3,3,"[8, 8, 8]","[(5, 5), (7, 7), (7, 7)]","[32, 64, 64]","(2, 2)",7.579960045233898
2,a39ad10f-df6a-47d2-a293-5baec979a9a4,trimmed,2,114458,20,0.15,sigmoid,mae,rmsprop,82.0,2,2,"[16, 64]","[(7, 7), (3, 3)]","[16, 64]","(4, 4)",16.59165902190828
2,d2e8a335-bb51-4660-9203-95ffaac7aa3a,untrimmed,2,114458,15,0.15,relu,mae,adam,92.0,1,2,[64],"[(3, 3)]","[16, 16]","(3, 3)",6.030129822236425
2,4607a8a5-35f8-4e2f-80cd-5ff10bddc343,untrimmed,2,114458,40,0.15,relu,mse,rmsprop,84.0,3,2,"[32, 64, 32]","[(3, 3), (4, 4), (7, 7)]","[64, 8]","(2, 2)",7.058011724541774
2,596a00bf-4d49-47f6-8efe-26efe5211bda,trimmed,2,114458,15,0.25,relu,mse,rmsprop,88.0,2,1,"[8, 32]","[(3, 3), (3, 3)]",[32],"(3, 3)",13.00715895112943
2,eab58485-80ef-46b9-86ed-f5fe93f3e5be,untrimmed,1,119671,15,0.25,tanh,mse,sgd,80.0,1,1,[32],"[(7, 7)]",[8],"(4, 4)",4.277292593629271
2,ec90e5d2-569d-4f22-b667-10191043728c,trimmed,2,114458,25,0.3,sigmoid,mse,rmsprop,94.0,2,1,"[8, 16]","[(4, 4), (3, 3)]",[64],"(3, 3)",15.88021187110447
2,62522106-c36b-40a3-a281-81a1f3d79c9b,untrimmed,1,119671,50,0.25,tanh,mse,rmsprop,90.0,3,2,"[32, 64, 16]","[(7, 7), (8, 8), (8, 8)]","[64, 16]","(2, 2)",7.638902236721752
2,ddfc0f0b-0ed2-4037-90db-f199edd761d7,untrimmed,2,114458,20,0.15,tanh,mse,adam,98.0,2,2,"[16, 32]","[(4, 4), (8, 8)]","[16, 16]","(3, 3)",9.03316183162669
2,6008b718-0589-479f-bd2c-cbc867e07696,untrimmed,3,119671,45,0.2,relu,mse,adam,86.0,2,3,"[64, 8]","[(5, 5), (4, 4)]","[32, 8, 8]","(3, 3)",3.7938521854919345
