71	1731600379.997710	0.000710	8.705872
72	1731600379.997720	0.000720	8.705872
73	1731600379.997730	0.000730	8.720581
74	1731600379.997740	0.000740	8.705872
75	1731600379.997750	0.000750	9.955872
76	1731600379.997760	0.000760	9.955872
77	1731600379.997770	0.000770	9.955872
78	1731600379.997780	0.000780	9.955872
79	1731600379.997790	0.000790	9.955872
80	1731600379.997800	0.000800	9.955872
81	1731600379.997810	0.000810	9.955872
82	1731600379.997820	0.000820	9.955872
83	1731600379.997830	0.000830	9.955872
84	1731600379.997840	0.000840	8.705872
85	1731600379.997850	0.000850	8.720581
86	1731600379.998000	0.001000	9.014694
87	1731600379.998010	0.001010	8.691162
88	1731600379.998020	0.001020	9.955872
89	1731600379.998030	0.001030	9.941162
90	1731600379.998040	0.001040	8.705872
91	1731600379.998050	0.001050	8.705872
92	1731600379.998060	0.001060	8.705872
93	1731600379.998070	0.001070	8.691162
94	1731600379.998080	0.001080	8.705872
95	1731600379.998090	0.001090	8.705872
96	1731600379.998100	0.001100	8.705872
97	1731600379.998110	0.001110	8.705872
98	1731600379.998120	0.001120	8.705872
99	1731600379.998130	0.001130	8.705872
100	1731600379.998140	0.001140	8.705872
101	1731600379.998150	0.001150	8.705872
102	1731600379.998160	0.001160	8.705872
103	1731600379.998170	0.001170	8.705872
104	1731600379.998180	0.001180	8.705872
105	1731600379.998190	0.001190	8.705872
106	1731600379.998200	0.001200	8.705872
107	1731600379.998210	0.001210	8.705872
108	1731600379.998220	0.001220	8.705872
109	1731600379.998230	0.001230	8.705872
110	1731600379.998240	0.001240	8.705872
111	1731600379.998250	0.001250	8.705872
112	1731600379.998260	0.001260	8.705872
113	1731600379.998270	0.001270	8.705872
114	1731600379.998280	0.001280	8.705872
115	1731600379.998290	0.001290	8.705872
116	1731600379.998300	0.001300	8.705872
117	1731600379.998310	0.001310	8.705872
118	1731600379.998320	0.001320	8.705872
119	1731600379.998330	0.001330	8.705872
120	1731600379.998340	0.001340	8.705872
121	1731600379.998350	0.001350	8.705872
122	1731600379.998360	0.001360	8.705872
123	1731600379.998370	0.001370	8.705872
124	1731600379.998380	0.001380	8.705872
125	1731600379.998390	0.001390	8.705872
126	1731600379.998400	0.001400	8.705872
127	1731600379.998410	0.001410	8.705872
128	1731600379.998420	0.001420	8.705872
129	1731600379.998430	0.001430	8.705872
130	1731600379.998440	0.001440	8.705872
131	1731600379.998450	0.001450	8.705872
132	1731600379.998460	0.001460	8.705872
133	1731600379.998470	0.001470	8.705872
134	1731600379.998480	0.001480	8.705872
135	1731600379.998490	0.001490	8.705872
136	1731600379.998500	0.001500	8.705872
137	1731600379.998510	0.001510	8.705872
138	1731600379.998520	0.001520	8.705872
139	1731600379.998530	0.001530	8.705872
